#{"t_start": 1619386317.228029, "env_id": "AntBulletEnv-v0"}
r,l,t
507.610748,1000,22.478931
481.893211,1000,54.911403
490.398858,1000,85.959469
430.892573,1000,116.78027
444.105204,1000,147.509609
532.701541,1000,178.459547
566.341161,1000,209.430171
577.600978,1000,239.87378
532.500957,1000,270.340889
539.709768,1000,300.477712
587.628639,1000,330.609743
595.331796,1000,360.362779
676.289241,1000,390.170106
599.975008,1000,420.043807
766.098752,1000,449.805503
528.380765,1000,479.62295
877.055232,1000,509.519665
829.101151,1000,539.587346
892.257467,1000,569.458936
736.980361,1000,612.608838
1041.44199,1000,645.011514
928.978335,1000,667.694967
1185.715727,1000,703.480178
1144.544333,1000,737.268535
1126.528771,1000,770.001542
1107.1817,1000,804.01275
1239.625149,1000,835.082481
1214.611382,1000,866.62161
1334.401225,1000,899.936101
1354.647472,1000,930.935429
1321.404089,1000,961.160256
1379.212477,1000,991.816188
1445.824203,1000,1022.523765
1446.721676,1000,1053.405101
1526.562439,1000,1095.780361
1561.660971,1000,1130.623394
1608.216342,1000,1161.198515
1698.934428,1000,1193.361485
1667.196905,1000,1224.013562
1729.843497,1000,1254.565943
1734.220423,1000,1284.862324
1803.199752,1000,1315.285869
1829.127703,1000,1336.740411
1752.919938,1000,1366.698266
1656.222087,1000,1396.53506
1847.815557,1000,1426.374958
1915.879892,1000,1456.139421
1930.483606,1000,1485.952886
1929.949085,1000,1515.781442
2051.562897,1000,1545.562154
1953.701188,1000,1575.429302
1963.882274,1000,1605.244157
1999.212461,1000,1635.208341
2053.264744,1000,1665.060306
2042.116918,1000,1695.049402
2034.782587,1000,1724.888423
2033.274437,1000,1754.68609
2020.520232,1000,1784.484589
2089.877568,1000,1814.376968
2019.703595,1000,1844.295959
2064.877644,1000,1874.068123
2175.142932,1000,1903.828483
2150.694566,1000,1933.527891
2036.315301,1000,1954.805095
2065.175276,1000,1984.601816
2082.687379,1000,2014.342341
2165.307129,1000,2044.067917
2186.080079,1000,2073.797073
2216.424389,1000,2103.537606
2241.647483,1000,2133.372841
2124.3402,1000,2163.084523
2229.208592,1000,2192.786829
2192.703432,1000,2222.498316
2257.115268,1000,2252.193796
2285.462151,1000,2282.051713
2257.322015,1000,2311.749583
2276.670122,1000,2341.581916
2301.537069,1000,2371.279491
2219.125018,1000,2400.836547
2341.635976,1000,2430.619176
2269.082475,1000,2460.975157
2338.909576,1000,2490.816161
2302.272596,1000,2520.572808
2309.326237,1000,2550.310846
2355.020471,1000,2580.035676
2298.924509,1000,2601.285108
2360.199147,1000,2630.885595
2382.390163,1000,2660.550598
2394.565077,1000,2690.27506
2445.083098,1000,2719.937121
2386.919179,1000,2749.620549
2472.311797,1000,2779.324794
2427.835803,1000,2809.052291
2127.988478,1000,2838.741403
2464.789219,1000,2868.424412
2367.245585,1000,2898.101935
2547.082441,1000,2927.713099
2522.226252,1000,2957.417411
2433.00378,1000,2986.991116
2542.364899,1000,3016.662064
2497.634213,1000,3046.372994
2565.218128,1000,3075.951325
2513.641333,1000,3105.600315
2523.672895,1000,3135.257226
2666.579681,1000,3164.918985
2552.032334,1000,3194.507494
2583.575581,1000,3215.654035
2579.577311,1000,3245.369608
2610.443067,1000,3274.944332
2539.779826,1000,3305.255908
2747.167266,1000,3334.897505
2551.729444,1000,3364.52398
2733.247555,1000,3394.087845
2686.902923,1000,3423.650325
2728.335045,1000,3453.175084
2428.761391,1000,3482.701493
2480.673829,1000,3512.282928
2641.163384,1000,3541.778322
2656.448989,1000,3571.391982
2700.366906,1000,3600.967119
2683.678786,1000,3630.594025
2490.278059,1000,3660.091893
2872.866897,1000,3689.70243
2761.463507,1000,3719.415748
2794.218202,1000,3749.215061
