#{"t_start": 1619390084.3866088, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1267.94476,1000,20.292485
-1400.218244,1000,48.586504
-1259.281788,1000,76.676024
-941.211212,1000,104.672153
-1003.960464,1000,132.577171
-548.346097,1000,160.751263
-325.367765,1000,188.658111
-398.143826,1000,216.313285
-40.04683,1000,243.852091
221.880974,1000,271.407923
313.998627,1000,299.083921
383.197325,1000,326.79616
515.313416,1000,354.450921
644.726942,1000,382.240146
786.077791,1000,409.730082
841.764414,1000,437.285408
957.441753,1000,464.744226
999.092619,1000,492.183223
1021.245981,1000,519.658366
1212.349925,1000,547.203779
1301.271387,1000,574.731291
1312.526065,1000,594.017673
1312.051073,1000,621.566309
1546.453318,1000,649.14223
1603.927562,1000,676.541989
1669.993459,1000,704.055088
1668.005037,1000,731.594842
1749.425355,1000,759.130192
1805.051256,1000,786.604181
1829.655156,1000,813.865165
1866.72924,1000,841.382814
1994.151139,1000,868.909216
1787.532948,1000,896.365712
1988.748483,1000,923.831569
2040.361693,1000,951.234745
1899.736647,1000,978.712131
2005.464916,1000,1006.116725
2101.662118,1000,1033.417193
2154.306442,1000,1060.820427
2244.399713,1000,1088.236775
2214.284182,1000,1115.645881
2231.939532,1000,1143.068705
2149.013945,1000,1162.177692
2229.50742,1000,1189.614128
2215.243972,1000,1217.066463
2044.458191,1000,1244.568438
2282.574666,1000,1272.047928
2352.760009,1000,1299.461112
2296.570856,1000,1326.894175
2338.720694,1000,1354.261323
2398.288947,1000,1381.696689
2438.351862,1000,1409.064219
2312.753592,1000,1436.531424
2415.749287,1000,1464.000551
2446.478696,1000,1491.511832
2392.378543,1000,1518.90562
2401.757414,1000,1546.300575
2456.070848,1000,1573.682031
2456.502594,1000,1601.064823
2496.657775,1000,1628.516756
2418.592603,1000,1655.936397
2403.756669,1000,1683.309058
2488.334524,1000,1710.592968
2446.176272,1000,1729.592438
2376.438619,1000,1757.015589
2477.557742,1000,1784.370763
2528.643606,1000,1811.812693
2532.4522,1000,1839.211803
2531.200172,1000,1866.58391
2499.907212,1000,1894.01589
2499.03846,1000,1921.367598
2522.494077,1000,1949.018672
2526.021,1000,1976.601256
2498.471016,1000,2003.951704
2433.391822,1000,2031.211927
2585.912749,1000,2058.573124
2582.233155,1000,2085.924598
2637.659906,1000,2113.320462
2480.877981,1000,2140.773201
2584.658745,1000,2168.216727
2614.418709,1000,2195.431598
2619.419217,1000,2222.694217
2581.61519,1000,2250.092665
2706.747582,1000,2277.398005
2544.195301,1000,2304.717994
2595.748024,1000,2323.822846
2600.885187,1000,2351.178262
2559.703034,1000,2378.441068
2650.351627,1000,2405.780296
2642.935272,1000,2433.120636
2558.831571,1000,2460.509729
2628.613236,1000,2487.882516
2755.212125,1000,2515.300754
2462.228663,1000,2542.742725
2756.187409,1000,2569.990131
2697.384814,1000,2597.373555
2607.341456,1000,2624.721641
2739.439754,1000,2652.05955
2693.271204,1000,2679.497603
2642.822423,1000,2706.862341
2639.358769,1000,2734.180834
2640.937833,1000,2761.471705
2779.482671,1000,2788.790755
2583.657747,1000,2816.221488
2611.105382,1000,2843.542065
2776.124439,1000,2870.90396
2749.014807,1000,2889.845058
2688.278899,1000,2917.158578
2742.475007,1000,2944.359635
2758.056893,1000,2971.635121
2667.977333,1000,2998.972242
2666.547797,1000,3026.393201
2599.47825,1000,3053.811563
2669.111393,1000,3081.059727
2734.702,1000,3108.298619
2730.418871,1000,3135.51773
2824.824887,1000,3162.910714
2731.245411,1000,3190.258442
2740.432409,1000,3217.551803
2706.595944,1000,3244.810306
2711.976877,1000,3272.180529
2779.158639,1000,3299.477466
2701.113704,1000,3326.814633
2612.377816,1000,3354.142634
2733.250193,1000,3381.518353
