#{"t_start": 1619393481.225066, "env_id": "HopperBulletEnv-v0"}
r,l,t
24.885184,10,0.25589
24.296946,9,0.329652
23.20503,11,0.421658
24.876822,10,0.510778
80.530221,67,1.093864
25.337196,11,1.182574
31.946931,17,1.326254
25.065635,12,1.424667
37.649785,25,1.626756
33.789954,17,1.764184
28.92386,14,1.890073
27.13724,17,2.028012
28.412976,13,2.131956
27.916069,17,2.269145
28.287481,13,2.376591
32.789374,16,2.506987
29.490615,18,2.651861
33.757354,17,2.792564
25.319155,11,2.882448
19.797465,6,2.930873
31.597895,15,3.052822
31.871181,19,3.205919
31.34275,16,3.336885
38.75113,23,3.521113
26.542371,13,3.626336
37.784404,21,3.798341
38.763885,27,4.017527
29.276596,14,4.131056
27.953737,12,4.226965
23.513558,8,4.291782
34.082071,19,11.503934
23.004058,9,11.579751
25.14292,11,11.66813
20.504908,8,11.733947
22.418538,8,11.800242
30.851151,17,11.941087
26.780521,11,12.02876
44.131634,36,12.319341
22.379797,7,12.377157
26.237149,12,12.474534
21.266501,8,12.54103
32.084089,22,12.718729
22.805318,9,12.795969
20.160741,6,12.850152
19.772423,6,12.899126
25.03128,9,12.973514
19.928058,7,13.030731
34.035387,17,13.168781
29.699322,18,13.314659
19.448942,8,13.381145
27.363674,11,13.470874
38.771932,23,13.656916
19.210284,11,13.746207
37.793825,20,13.908956
28.507382,12,14.008302
25.290433,10,14.090269
22.40811,13,14.19419
20.680211,7,14.251417
22.323366,8,14.31665
28.318114,12,14.414357
36.755595,22,14.59782
24.460649,11,14.688119
19.647677,7,14.743888
19.848746,6,14.79501
19.387218,10,14.875762
18.954468,6,14.928632
28.87283,18,15.081533
23.747623,11,15.171368
20.605773,7,15.227182
25.215436,10,15.307866
26.538252,13,15.413171
31.761176,19,15.568015
21.50662,12,22.738896
29.436995,15,22.862489
27.032707,13,22.967206
31.384954,16,23.095377
30.666371,17,23.233277
24.790571,11,23.322318
30.59508,18,23.469159
24.677748,12,23.567631
23.953779,12,23.665099
29.432333,13,23.768871
29.080918,16,23.895225
27.119407,12,23.992131
28.743681,14,24.104096
37.124129,23,24.290387
20.528205,7,24.346927
30.314787,25,24.549279
21.464377,12,24.645886
36.559948,23,24.831523
19.82406,8,24.896912
28.412173,18,25.042801
27.746721,12,25.138784
31.006759,19,25.291076
22.637129,11,25.379428
28.729668,13,25.48296
26.441343,12,25.580214
19.523455,11,25.66749
23.107459,10,25.74843
32.173048,17,25.884179
39.411414,25,26.084511
18.882669,7,26.139186
38.802551,23,26.329612
29.20092,18,26.473718
32.037452,18,26.619344
25.992932,11,26.707163
27.21547,14,26.817536
21.760187,18,34.023486
35.242453,22,34.199946
43.106204,27,34.418264
30.264685,18,34.571156
42.939705,27,34.791512
30.778015,14,34.902332
39.646394,28,35.127087
44.671317,31,35.375642
33.92315,20,35.536925
34.156113,17,35.67053
30.877918,19,35.819953
39.491796,27,36.032706
29.758987,21,36.198607
35.935938,49,36.588174
32.985409,46,36.949372
24.188832,15,37.068462
33.006668,20,37.22741
31.275509,22,37.407097
39.019777,26,37.623213
30.054681,14,37.736104
34.277864,20,37.893002
35.372204,24,45.161918
37.303745,22,45.335318
48.64616,51,45.739717
26.616237,17,45.871957
44.6105,28,46.092503
37.992628,32,46.344722
63.918835,46,46.706046
43.531457,31,46.950319
18.656427,49,47.335117
55.002932,43,47.674882
66.16784,51,48.103996
34.512588,19,48.254667
56.531421,36,48.535493
34.196864,20,48.697505
45.429161,29,48.922858
91.729681,103,56.774772
37.71406,32,57.023928
45.219105,36,57.304921
44.254818,31,57.550924
55.138516,50,57.94159
73.775846,66,58.455641
96.868111,97,59.21292
36.04835,21,59.376155
100.215764,70,59.943163
61.806433,51,67.426859
124.249626,93,68.148912
69.001546,47,68.512761
55.843355,42,68.837538
88.069977,74,69.413621
93.687287,114,70.304342
112.130158,89,71.001178
