#{"t_start": 1619402818.878067, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
19.154359,19,0.387419
23.849871,19,0.600594
27.84193,27,0.898171
22.678821,17,1.091784
25.499668,20,1.3463
25.032282,18,1.544446
25.185643,22,1.787155
23.157015,16,1.976354
22.929533,16,2.164762
29.125959,25,2.441583
26.131808,23,2.694833
18.756786,14,2.850733
20.93271,18,3.053639
24.457081,18,3.250664
25.747133,17,3.443468
23.132981,18,3.642568
14.386895,8,3.735128
21.769566,14,3.89476
15.054876,8,3.983875
32.302859,25,4.261724
20.827966,21,4.498051
26.271084,19,4.710036
26.450912,21,4.943265
14.929109,8,5.032063
39.033038,37,5.442862
15.565501,9,5.541642
29.470921,24,5.809436
29.370436,22,14.135286
25.080801,19,14.347004
18.444678,15,14.519035
32.39862,28,14.837771
25.173594,19,15.048862
37.596829,32,15.407343
22.657145,25,15.694206
26.153045,22,15.939443
17.424223,13,16.086783
20.509191,15,16.258131
20.973254,16,16.443425
22.16924,21,16.684749
22.484109,20,16.909724
27.602309,24,17.173243
16.357147,11,17.301266
24.097295,17,17.489168
30.968775,28,17.802017
28.346599,29,18.131977
18.738941,14,18.288232
33.924804,25,18.570508
21.92473,20,18.79534
12.130842,7,18.871573
16.126258,9,18.972431
22.564862,20,19.194481
23.501015,25,19.474321
14.577588,11,19.599183
20.785106,14,19.754652
30.414415,26,28.101641
25.527128,22,28.347216
23.614651,15,28.513403
26.817559,23,28.766076
18.920267,20,28.982771
22.047869,24,29.247768
24.745006,19,29.457463
20.191834,17,29.643871
16.726899,12,29.779379
16.972272,16,29.95755
26.36551,23,30.214791
23.827234,17,30.405802
22.626166,17,30.593165
24.003302,18,30.796635
15.913948,11,30.917162
19.606721,16,31.097363
18.912422,12,31.229579
25.652833,31,31.569722
19.735457,16,31.747017
27.445763,29,32.06846
35.258783,33,32.437637
19.843779,17,32.629738
30.970887,24,32.89792
25.548478,23,33.151776
15.023293,10,33.26189
41.225115,44,41.870576
33.688628,40,42.321843
29.164439,26,42.605955
28.512246,23,42.85793
43.136451,42,43.316609
38.493378,42,43.77775
25.131962,22,44.022042
36.491126,32,44.383573
36.456346,42,44.843846
32.331554,28,45.151932
32.52549,53,45.732498
59.663177,64,46.43963
16.14554,11,46.562485
17.447459,13,46.707462
55.199971,64,55.526183
26.815193,67,56.260048
67.19633,71,57.041935
50.994732,67,57.779054
21.88475,31,58.12407
29.805043,27,58.41944
27.689664,29,58.735225
29.254553,25,59.009121
27.105767,26,59.292589
49.500538,47,59.80727
40.397518,48,60.327979
31.597989,34,60.69865
52.740002,51,69.359085
35.045597,47,69.867247
32.777953,39,70.297766
36.009928,39,70.744483
30.261876,29,71.0599
61.468331,75,71.90023
27.708789,44,72.386436
31.099121,27,72.68593
61.299854,59,73.334666
65.893773,74,74.14653
48.651122,43,74.619297
24.005244,20,82.957364
66.032883,79,83.81753
43.77313,46,84.320628
53.015702,60,84.983552
30.215483,25,85.258187
65.419402,82,86.152346
44.282355,45,86.636913
22.06739,17,86.824441
71.616999,83,87.759603
103.144844,100,96.802674
24.194828,26,97.089036
100.860929,157,98.83229
57.441823,68,99.589203
54.31975,69,100.33365
40.882987,82,101.223246
47.579703,122,110.616234
34.123951,59,111.257223
40.959597,46,111.751876
55.976524,48,112.288379
66.884664,55,112.899437
63.375938,70,113.654248
66.155705,70,114.426165
69.86126,57,115.037608
67.51554,57,115.650831
26.142204,59,124.385014
69.310661,62,125.047697
48.916868,53,125.624127
66.249087,60,126.28397
32.392024,77,127.118097
52.319739,43,127.575111
62.423433,73,128.372583
45.257907,96,137.399739
66.99164,100,138.494507
71.37868,60,139.141304
72.577481,68,139.877004
72.38038,64,140.578508
72.531317,79,141.439842
75.695524,68,142.182528
74.285112,60,142.829888
57.696255,125,152.299946
72.193026,61,152.968056
91.499597,94,154.001078
67.484295,61,154.669419
81.506767,80,155.528453
78.293236,105,164.638481
97.025725,93,165.659973
79.268487,62,166.33122
35.18176,95,167.368741
50.669489,94,168.381151
76.653747,66,169.105254
79.721978,84,170.01387
71.605024,60,178.754098
25.264538,29,179.066714
93.308864,94,180.087379
75.757409,60,180.731931
61.318651,58,181.359795
71.751213,68,182.11298
65.613605,62,182.784651
78.938888,73,183.569006
46.60539,53,192.165059
48.198048,59,192.796943
70.853281,54,193.378864
68.66368,64,194.071115
75.170854,67,194.799448
68.67169,62,195.470735
25.870318,62,196.138842
92.92631,94,197.14874
143.250156,272,208.180429
16.334496,14,208.329071
67.053993,56,208.942963
69.282012,67,209.675879
65.806899,53,210.249247
93.622584,78,219.190561
60.182218,56,219.807727
41.641704,138,221.306524
102.302379,98,222.389058
74.57658,64,223.080658
63.465269,51,223.63259
71.296913,60,224.290995
22.140639,22,224.53138
79.705783,61,233.312642
122.579304,119,234.608034
58.802878,51,235.157524
94.593488,85,236.081041
26.945566,83,237.011826
92.024853,78,237.872346
75.782359,84,246.855687
70.675671,59,247.523518
72.577274,60,248.166159
96.184385,97,249.235773
30.830286,87,250.170347
104.034207,94,251.193996
22.266434,32,251.542828
69.679336,55,260.230681
69.005478,75,261.055243
75.845708,63,261.730342
63.223249,53,262.306833
80.464936,66,263.02947
94.133821,79,263.884306
90.469459,83,264.796996
83.827744,83,265.701241
76.35987,67,274.589519
97.328322,103,275.708193
66.244786,62,276.379882
84.042804,83,277.287984
91.753363,89,278.247219
71.634189,71,279.01327
27.665345,30,279.335436
107.506608,102,288.459972
84.00055,85,289.389641
69.399756,56,290.00054
80.278641,68,290.743068
74.544116,60,291.389635
75.127281,63,292.070783
63.291497,53,292.649126
74.992328,64,301.43413
118.712477,123,302.779981
87.248143,71,303.562901
